Frame,Ours,Qlab,%diff,
1,65,74.9,13.2176235,
2,69,73.1,5.60875513,
3,72,70.8,1.694915254,
4,61,63.3,3.633491311,
5,59,55.7,5.92459605,
6,52,49.1,5.906313646,
7,39,42.5,8.235294118,
8,37,38.4,3.645833333,
9,35,34.5,1.449275362,
10,32,31.4,1.910828025,
11,31,31.2,0.641025641,
12,32,33.8,5.325443787,
13,35,34.6,1.156069364,
14,42,46.4,9.482758621,
15,48,52.8,9.090909091,
16,60,57.7,3.986135182,
17,59,61.4,3.908794788,
18,63,65.1,3.225806452,
19,69,68,1.470588235,
20,71,69.6,2.011494253,
21,72,69.7,3.299856528,
22,70,69.6,0.5747126437,
23,73,70,4.285714286,
24,75,71.1,5.485232068,
25,95,102.66,7.461523476,